Front;Back;Tags
ja;and;suomi-scraper
nyt;now;suomi-scraper
minä;I;suomi-scraper
jatkaa;continue;suomi-scraper
nämä;these;suomi-scraper
levy;plate;suomi-scraper
tehdä;make;suomi-scraper
hallituskausi;reign;suomi-scraper
voida;can;suomi-scraper
olla;be;suomi-scraper
puhuttava;speakable;suomi-scraper
isä;father;suomi-scraper
sekä;and;suomi-scraper
veli;brother;suomi-scraper
asia;business;suomi-scraper
se;it;suomi-scraper
katsoa;watch;suomi-scraper
tapahtua;happen;suomi-scraper
että;that;suomi-scraper
kun;when;suomi-scraper
uni;dream;suomi-scraper
kehottaa;urge;suomi-scraper
kaikki;all;suomi-scraper
uutteruus;diligence;suomi-scraper
hän;he;suomi-scraper
puhua;speak;suomi-scraper
juutalainen;Jew;suomi-scraper
jälki;track;suomi-scraper
hävitetty;devastated;suomi-scraper
nimittäin;namely;suomi-scraper
tuo;that;suomi-scraper
suuri;big;suomi-scraper
kaupunki;city;suomi-scraper
moni;many;suomi-scraper
viety;transferred;suomi-scraper
vanki;prisoner;suomi-scraper
herra;sir;suomi-scraper
hyvä;good;suomi-scraper
näkemä;intuition;suomi-scraper
aika;time;suomi-scraper
palata;revert;suomi-scraper
takainen;back;suomi-scraper
niin;so;suomi-scraper
tuoda;bring;suomi-scraper
vankeus;captivity;suomi-scraper
tuotu;brought;suomi-scraper
omistaa;own;suomi-scraper
jälleen;again;suomi-scraper
kuusisataa;six hundred;suomi-scraper
vuosi;year;suomi-scraper
lähteä;leave;suomi-scraper
jumala;god;suomi-scraper
nostaa;raise;suomi-scraper
keskuudessa;among;suomi-scraper
esillä;out;suomi-scraper
profeetta;prophet;suomi-scraper
messias;messiah;suomi-scraper
elää;live;suomi-scraper
toinen;second;suomi-scraper
sanoa;say;suomi-scraper
maailma;world;suomi-scraper
vapahtaja;redeemer;suomi-scraper
myös;too;suomi-scraper
kuinka;how;suomi-scraper
joukko;set;suomi-scraper
tämä;this;suomi-scraper
joka;which;suomi-scraper
lunastaja;redeemer;suomi-scraper
koko;size;suomi-scraper
kadotettu;lost;suomi-scraper
langennut;fallen;suomi-scraper
tila;space;suomi-scraper
tulla;come;suomi-scraper
aina;always;suomi-scraper
ellei;unless;suomi-scraper
turvata;safeguard;suomi-scraper
ennen;before;suomi-scraper
valmistaa;prepare;suomi-scraper
tie;road;suomi-scraper
vielä;still;suomi-scraper
mennä;go;suomi-scraper
erämaa;wilderness;suomi-scraper
huutaa;shout;suomi-scraper
raivata;clear;suomi-scraper
polku;path;suomi-scraper
suora;straight;suomi-scraper
te;you;suomi-scraper
keskellä;among;suomi-scraper
seisoa;stand;suomi-scraper
ei;no;suomi-scraper
tuntea;feel;suomi-scraper
väkevä;strong;suomi-scraper
kengännauha;shoelace;suomi-scraper
arvoton;worthless;suomi-scraper
avata;open;suomi-scraper
paljo;much;suomi-scraper
kastaa;dip;suomi-scraper
puoli;half;suomi-scraper
vesi;water;suomi-scraper
jo;already;suomi-scraper
kastettu;baptised;suomi-scraper
nähdä;see;suomi-scraper
todistaa;witness;suomi-scraper
karitsa;lamb;suomi-scraper
ottaa;take;suomi-scraper
pois;away;suomi-scraper
synti;sin;suomi-scraper
puhuttu;spoken;suomi-scraper
sana;word;suomi-scraper
evankeliumi;gospel;suomi-scraper
saarnata;preach;suomi-scraper
vaipua;dash;suomi-scraper
epäusko;disbelief;suomi-scraper
surmattu;homicide;suomi-scraper
tuleva;future;suomi-scraper
nouseva;rising;suomi-scraper
kuollut;dead;suomi-scraper
ilmaiseva;expressive;suomi-scraper
itse;self;suomi-scraper
pyhä;holy;suomi-scraper
henki;spirit;suomi-scraper
kausi;period;suomi-scraper
pakana;pagan;suomi-scraper
aivan;right;suomi-scraper
huone;room;suomi-scraper
verrata;compare;suomi-scraper
oliivipuu;olive;suomi-scraper
oksa;branch;suomi-scraper
taittaa;fold;suomi-scraper
hajottaa;disperse;suomi-scraper
kaikkialla;everywhere;suomi-scraper
pää;head;suomi-scraper
vuoksi;flow;suomi-scraper
oleva;available;suomi-scraper
välttämätön;necessary;suomi-scraper
me;we;suomi-scraper
johdattaa;lead;suomi-scraper
yhdessä;together;suomi-scraper
lupaus;vow;suomi-scraper
toteutua;actualize;suomi-scraper
koota;assemble;suomi-scraper
yksi;one;suomi-scraper
luonnollinen;natural;suomi-scraper
jäännös;residue;suomi-scraper
oksastaa;graft;suomi-scraper
paikko;spare;suomi-scraper
tosi;true;suomi-scraper
tapa;habit;suomi-scraper
profetoida;prophesy;suomi-scraper
muuttaa;change;suomi-scraper
mikä;what;suomi-scraper
kirjoittaa;write;suomi-scraper
kirja;book;suomi-scraper
kirjoittanut;written;suomi-scraper
niistää;blow one's nose;suomi-scraper
kuu;moon;suomi-scraper
asua;live;suomi-scraper
teltta;tent;suomi-scraper
laakso;valley;suomi-scraper
kuultu;heard;suomi-scraper
näky;vision;suomi-scraper
voima;force;suomi-scraper
saada;get;suomi-scraper
uskoa;believe;suomi-scraper
poika;son;suomi-scraper
olka;shoulder;suomi-scraper
halukas;willing;suomi-scraper
kuulla;hear;suomi-scraper
tietää;know;suomi-scraper
ne;they;suomi-scraper
etsiä;search;suomi-scraper
uuttera;diligent;suomi-scraper
muinainen;ancient;suomi-scraper
jolloin;when;suomi-scraper
ilmaista;express;suomi-scraper
sama;same;suomi-scraper
eilen;yesterday;suomi-scraper
tänään;today;suomi-scraper
ikuinen;eternal;suomi-scraper
oltu;been;suomi-scraper
valmistettu;made;suomi-scraper
ihminen;human being;suomi-scraper
perustaa;establish;suomi-scraper
asti;until;suomi-scraper
jos;if;suomi-scraper
parannus;upgrade;suomi-scraper
luokse;to;suomi-scraper
löytää;find;suomi-scraper
salaisuus;secret;suomi-scraper
paljastaa;unmask;suomi-scraper
kulku;course;suomi-scraper
yhtä;as;suomi-scraper
iankaikkinen;eternal;suomi-scraper
kiertokulku;circulation;suomi-scraper
muistaa;remember;suomi-scraper
siis;ergo;suomi-scraper
oi;oh;suomi-scraper
joutua;hydroplane;suomi-scraper
tuomio;sentence;suomi-scraper
jumalaton;impious;suomi-scraper
sinä;you;suomi-scraper
havaita;discern;suomi-scraper
epäpuhdas;unclean;suomi-scraper
tuomioistuin;court;suomi-scraper
edessä;ahead;suomi-scraper
mikään;anything else;suomi-scraper
voi;butter;suomi-scraper
täytyä;have to;suomi-scraper
karkottaa;banish;suomi-scraper
ikä;age;suomi-scraper
antaa;give;suomi-scraper
valtuus;authorization;suomi-scraper
kieltää;forbid;suomi-scraper
niittää;mow;suomi-scraper
kykenevä;able;suomi-scraper
istua;sit;suomi-scraper
pohdiskella;contemplate;suomi-scraper
sydän;heart;suomi-scraper
temmata;wrench;suomi-scraper
tavaton;exceptional;suomi-scraper
korkea;high;suomi-scraper
vuori;mountain;suomi-scraper
koskaan;never;suomi-scraper
jalka;foot;suomi-scraper
haluta;want;suomi-scraper
puu;tree;suomi-scraper
kyllä;yes;suomi-scraper
kova;hard;suomi-scraper
ääni;voice;suomi-scraper
hoosianna;hosanna;suomi-scraper
yläpuoli;upper side;suomi-scraper
siunattu;blessed;suomi-scraper
koska;because;suomi-scraper
merkki;sign;suomi-scraper
kantaa;bear;suomi-scraper
hedelmä;fruit;suomi-scraper
maistaa;taste;suomi-scraper
mies;man;suomi-scraper
laskeutuva;cascading;suomi-scraper
taivas;sky;suomi-scraper
oma;own;suomi-scraper
silmä;eye;suomi-scraper
kaltainen;like;suomi-scraper
kauneus;beauty;suomi-scraper
voittaa;win;suomi-scraper
valkoisuus;whiteness;suomi-scraper
lumikinos;snowdrift;suomi-scraper
muu;other;suomi-scraper
kallisarvoinen;precious;suomi-scraper
tulkinta;interpretation;suomi-scraper
hahmo;figure;suomi-scraper
mutta;but;suomi-scraper
huolimatta;despite;suomi-scraper
kanssa;with;suomi-scraper
neitsyt;virgin;suomi-scraper
ihana;sweet;suomi-scraper
valkea;white;suomi-scraper
enkeli;angel;suomi-scraper
alas;down;suomi-scraper
kaunis;beautiful;suomi-scraper
alentaa;lower;suomi-scraper
rakastaa;love;suomi-scraper
lapsi;child;suomi-scraper
tarkoitus;purpose;suomi-scraper
äiti;mother;suomi-scraper
liha;meat;suomi-scraper
mukaan;along;suomi-scraper
viedä;export;suomi-scraper
syli;lap;suomi-scraper
merkitys;meaning;suomi-scraper
vastata;answer;suomi-scraper
rakkaus;love;suomi-scraper
levitä;spread;suomi-scraper
haluttava;desirable;suomi-scraper
riemullinen;angelic;suomi-scraper
sielu;soul;suomi-scraper
sanottu;said;suomi-scraper
menevä;bound;suomi-scraper
lankeava;incident;suomi-scraper
juuri;root;suomi-scraper
johtaa;lead;suomi-scraper
elävä;living;suomi-scraper
lähde;source;suomi-scraper
kuvata;describe;suomi-scraper
kuva;image;suomi-scraper
valmistava;preparatory;suomi-scraper
kyyhkynen;dove;suomi-scraper
kulkea;travel;suomi-scraper
palvella;serve;suomi-scraper
voimassa;effective;suomi-scraper
kirkkaus;brightness;suomi-scraper
joukoittain;en masse;suomi-scraper
kaksitoista;twelve;suomi-scraper
seuraava;next;suomi-scraper
sairas;sick;suomi-scraper
kaikenlainen;various;suomi-scraper
tauti;disease;suomi-scraper
riivaaja;devil;suomi-scraper
saastainen;filthy;suomi-scraper
ahdistaa;oppress;suomi-scraper
näyttää;show;suomi-scraper
parantua;heal;suomi-scraper
ajaa;drive;suomi-scraper
ulos;out;suomi-scraper
kiinni;closed;suomi-scraper
tuomittava;reprehensible;suomi-scraper
korottaa;raise;suomi-scraper
risti;cross;suomi-scraper
surmata;kill;suomi-scraper
tähti;star;suomi-scraper
ihmispaljous;mass;suomi-scraper
taistella;fight;suomi-scraper
apostoli;apostle;suomi-scraper
vastaan;against;suomi-scraper
nimittää;designate;suomi-scraper
avara;extensive;suomi-scraper
rakennus;building;suomi-scraper
viisaus;wisdom;suomi-scraper
ylpeys;pride;suomi-scraper
sortua;collapse;suomi-scraper
tällainen;this;suomi-scraper
kansakunta;nation;suomi-scraper
suku;genus;suomi-scraper
kieli;language;suomi-scraper
kansa;people;suomi-scraper
tuho;downfall;suomi-scraper
jälkeläinen;offspring;suomi-scraper
meri;sea;suomi-scraper
hiekka;sand;suomi-scraper
väkijoukko;crowd;suomi-scraper
sotia;war;suomi-scraper
teurastus;slaughter;suomi-scraper
miekka;sword;suomi-scraper
sukupolvi;generation;suomi-scraper
kuoleva;dying;suomi-scraper
kiista;dispute;suomi-scraper
jatkua;continue;suomi-scraper
ettei;lest;suomi-scraper
edes;even;suomi-scraper
laskenut;set;suomi-scraper
pimeys;dark;suomi-scraper
sumu;fog;suomi-scraper
yltää;run;suomi-scraper
salama;lightning;suomi-scraper
kuula;ball;suomi-scraper
ukkonen;thunderstorm;suomi-scraper
jylinä;thunder;suomi-scraper
maanjäristys;earthquake;suomi-scraper
melskeinen;boisterous;suomi-scraper
halkeava;fissile;suomi-scraper
kappale;paragraph;suomi-scraper
tasanko;plain;suomi-scraper
palava;burning;suomi-scraper
tuli;fire;suomi-scraper
nähty;seen;suomi-scraper
huuru;mist;suomi-scraper
haihtuva;ethereal;suomi-scraper
ollut;been;suomi-scraper
surma;kill;suomi-scraper
kauhistava;terrible;suomi-scraper
näyttäytyä;appear;suomi-scraper
laskeutua;descend;suomi-scraper
valittu;selected;suomi-scraper
opetuslapsi;Disciple;suomi-scraper
tuomita;judge;suomi-scraper
heimo;tribe;suomi-scraper
palvelija;servant;suomi-scraper
vanhurskas;righteous;suomi-scraper
usko;belief;suomi-scraper
vaate;cloth;suomi-scraper
valkoinen;white;suomi-scraper
veri;blood;suomi-scraper
kolme;three;suomi-scraper
vanhurskaus;righteousness;suomi-scraper
tehty;done;suomi-scraper
neljäs;fourth;suomi-scraper
virta;current;suomi-scraper
syvyys;depth;suomi-scraper
helvetti;hell;suomi-scraper
paholainen;devil;suomi-scraper
kiusaus;temptation;suomi-scraper
sokaista;dazzle;suomi-scraper
paaduttaa;harden;suomi-scraper
eksyttää;disorientate;suomi-scraper
lavea;diffuse;suomi-scraper
hukkua;drown;suomi-scraper
turhamainen;vain;suomi-scraper
kuvitelma;fiction;suomi-scraper
erottaa;separate;suomi-scraper
kuilu;shaft;suomi-scraper
oikeudenmukaisuus;justice;suomi-scraper
alustaa;initialize;suomi-scraper
hetki;moment;suomi-scraper
vastedes;henceforth;suomi-scraper
voittanut;superior;suomi-scraper
synkkä;gloomy;suomi-scraper
inhottava;hideous;suomi-scraper
täysi;full;suomi-scraper
joutilaisuus;idleness;suomi-scraper
iljetys;loathing;suomi-scraper
valtakunta;empire;suomi-scraper
kirkko;church;suomi-scraper
muodostaa;constitute;suomi-scraper
iljettävä;execrable;suomi-scraper
kiduttaa;torture;suomi-scraper
sitoa;bind;suomi-scraper
kytkeä;switch;suomi-scraper
rautainen;iron;suomi-scraper
ies;yoke;suomi-scraper
alistaa;subordinate;suomi-scraper
orjuus;slavery;suomi-scraper
perustaja;founder;suomi-scraper
kulta;gold;suomi-scraper
hopea;silver;suomi-scraper
silkki;silk;suomi-scraper
karmiininpunainen;carmine;suomi-scraper
pellava;flax;suomi-scraper
portto;whore;suomi-scraper
ylistys;praise;suomi-scraper
hävittää;eradicate;suomi-scraper
viha;hatred;suomi-scraper
vaikuttava;effective;suomi-scraper
yli;over;suomi-scraper
luvattu;votive;suomi-scraper
lyödä;beat;suomi-scraper
menestyä;succeed;suomi-scraper
perintö;inheritance;suomi-scraper
lähtenyt;departed;suomi-scraper
nöyrtyä;humble;suomi-scraper
joki;river;suomi-scraper
vapautua;liberalize;suomi-scraper
käsi;hand;suomi-scraper
kuljettaa;dribble;suomi-scraper
suu;mouth;suomi-scraper
aikakirja;chronicle;suomi-scraper
sisältää;contain;suomi-scraper
liitto;union;suomi-scraper
profetia;prophecy;suomi-scraper
kaiverrus;engraving;suomi-scraper
paitsi;except;suomi-scraper
kuitenkin;however;suomi-scraper
totuus;truth;suomi-scraper
kulkeutua;emanate;suomi-scraper
puhdas;clean;suomi-scraper
osa;part;suomi-scraper
selkeä;clear;suomi-scraper
erittäin;very;suomi-scraper
vääristellä;distort;suomi-scraper
oikea;right;suomi-scraper
läpi;through;suomi-scraper
otettu;flattered;suomi-scraper
asioida;patronize;suomi-scraper
ymmärrys;understanding;suomi-scraper
selkeys;clarity;suomi-scraper
kompastua;trip;suomi-scraper
saatana;devil;suomi-scraper
valta;power;suomi-scraper
oivallinen;fine;suomi-scraper
sallia;allow;suomi-scraper
sekoitus;mixture;suomi-scraper
jäädä;stay;suomi-scraper
kauhea;terrible;suomi-scraper
sokeus;blindness;suomi-scraper
tilata;order;suomi-scraper
sangen;quite;suomi-scraper
muodostua;form;suomi-scraper
armollinen;merciful;suomi-scraper
rangaista;punish;suomi-scraper
rangaistu;convict;suomi-scraper
lyöty;subdued;suomi-scraper
paha;bad;suomi-scraper
sellainen;such;suomi-scraper
opettaa;teach;suomi-scraper
kätkeä;hide;suomi-scraper
jotta;in order to;suomi-scraper
apu;help;suomi-scraper
pelastus;salvation;suomi-scraper
pyrkiä;aspire;suomi-scraper
kestää;take;suomi-scraper
loppu;end;suomi-scraper
ylentää;promote;suomi-scraper
viimeinen;last;suomi-scraper
pelastaa;rescue;suomi-scraper
julistaa;declare;suomi-scraper
sanoma;message;suomi-scraper
ilo;joy;suomi-scraper
hajotettu;demolished;suomi-scraper
vakuuttunut;convinced;suomi-scraper
vahvistaa;confirm;suomi-scraper
ensimmäinen;first;suomi-scraper
